"id","name","review_count","categories1","categories2","categories3","rating","latitude","longitude","price","distance"
"house-of-hummus-buffalo","House of Hummus","69","mideastern","falafel","vegan","4.5","42.9479149","-78.865637","$","4855.66878307"
"expo-market-buffalo-3","Expo Market","52","food_court","venues","","4.5","42.8907","-78.87249","$$","6287.09528046"
"viking-lobster-company-buffalo","Viking Lobster Company","70","seafood","tradamerican","","3.5","42.9389490187","-78.8984079659","$$$","7096.03807816"
"crāving-restaurant-buffalo-2","CRāVing Restaurant","136","newamerican","","","3.5","42.94797","-78.853513","$$","4022.6262798"
"poppyseed-restaurant-buffalo","Poppyseed Restaurant","82","newamerican","vegetarian","wraps","4.0","42.7863287847","-78.8112184147","$$","15606.2318606"
"anchor-bar-buffalo","Anchor Bar","1147","chicken_wings","bars","tradamerican","3.5","42.90234375","-78.8685302734","$$","5275.21599624"
"taisho-bistro-buffalo","Taisho Bistro","137","japanese","sushi","seafood","4.0","42.9806416514","-78.8104333058","$$","5959.58026734"
"bettys-buffalo","Betty's","331","newamerican","breakfast_brunch","vegetarian","4.0","42.8968193","-78.878345","$$","6308.22124758"
"the-press-box-buffalo","The Press Box","14","sportsbars","tradamerican","","4.5","42.8146359653","-78.8006494939","$$","12544.9512671"
"dinosaur-bar-b-que-buffalo","Dinosaur Bar-B-Que","369","tradamerican","bbq","","4.0","42.892555","-78.874168","$$","6278.61148372"
"d-avolio-buffalo-3","D'Avolio","25","pizza","italian","","4.0","42.8882730217","-78.8733749219","$$","6531.92272626"
"lait-cru-brasserie-buffalo","Lait Cru Brasserie","27","french","breakfast_brunch","salad","4.5","42.9057426173","-78.888152875","$$","6550.84904746"
"vera-pizzeria-buffalo","Vera Pizzeria","164","pizza","cocktailbars","italian","4.0","42.91297","-78.87834","$$","5518.6602143"
"eddie-bradys-tavern-buffalo","Eddie Brady's Tavern","31","divebars","tradamerican","irish_pubs","4.5","42.88929","-78.87035","$","6267.6872838"
"trattoria-aroma-buffalo-2","Trattoria Aroma","189","italian","breakfast_brunch","","4.0","42.90908","-78.87846","$$","5681.06354172"
"colter-bay-buffalo","Colter Bay","38","tradamerican","beerbar","salad","3.5","42.89961","-78.87338","$$","5790.31873751"
"ranchos-latin-food-buffalo","Ranchos Latin Food","79","venezuelan","","","4.5","42.92574","-78.89818","$","6923.47353892"
"vinos-italian-restaurant-buffalo","Vino's Italian Restaurant","51","italian","","","4.5","42.9417648315","-78.87890625","$$","5586.63229854"
"marottos-restaurant-buffalo","Marotto's Restaurant","33","seafood","newamerican","italian","4.5","42.976207","-78.871411","$$","7232.4624737"
"bella-asian-cuisine-buffalo","Bella Asian Cuisine","7","asianfusion","","","4.0","42.99653","-78.80168","$$","7806.44758596"
"716-food-and-sport-buffalo","716 Food and Sport","400","sportsbars","burgers","chicken_wings","3.0","42.877211","-78.876014","$$","7546.58375468"
"belsito-buffalo","Belsito","28","italian","bars","pizza","4.0","42.948009","-78.857093","$$","4269.45606642"
"bada-bing-buffalo-3","Bada Bing","61","sportsbars","italian","","4.0","42.8902018","-78.8745819","$$","6467.7041057"
"cafe-59-buffalo-2","Cafe 59","89","cafes","bars","newamerican","4.5","42.8993227","-78.8724842","$$","5732.19130792"
"kunis-buffalo","Kuni's","170","sushi","japanese","","4.0","42.9131475091","-78.8782981038","$$","5533.4339555"
"lagerhaus95-buffalo","Lagerhaus95","93","gastropubs","sandwiches","","3.0","42.8751363","-78.8740868","$$","7614.41437793"
"home-taste-buffalo","Home Taste","61","chinese","","","4.5","42.96877","-78.87099","$","6605.18358454"
"pizza-plant-italian-pub-buffalo-3","Pizza Plant Italian Pub","38","pizza","italian","pubs","3.5","42.8782264952","-78.876340191","$$","7482.38911328"
"charlies-boat-yard-buffalo","Charlie's Boat Yard","57","tradamerican","seafood","breakfast_brunch","2.5","42.849156037","-78.8623382896","$$","9429.24858852"
"merge-buffalo-2","Merge","167","newamerican","vegan","vegetarian","4.0","42.89626","-78.87474","$$","6073.32246398"
"charlie-the-butchers-kitchen-buffalo-2","Charlie the Butcher's Kitchen","230","sandwiches","tradamerican","","4.0","42.9492912292","-78.744972229","$","6089.84137348"
"swannie-house-buffalo","Swannie House","36","newamerican","bars","","4.0","42.87223","-78.871803","$","7748.15407248"
"rue-franklin-restaurant-buffalo-4","Rue Franklin Restaurant","60","french","","","4.0","42.894025","-78.873739","$$$","6151.85745131"
"the-village-grille-buffalo","The Village Grille","31","greek","","","4.5","42.9635391235","-78.7425918579","$","7031.11730256"
"tap-house-pub-and-grill-buffalo","Tap House Pub & Grill","29","pubs","tradamerican","","4.0","42.8907797868","-78.8760907953","$","6523.19527544"
"doc-sullivans-buffalo","Doc Sullivan's","29","chicken_wings","irish_pubs","","4.5","42.8500643","-78.8145737","$$","8543.85248478"
"amici-ristorante-and-cafe-buffalo","Amici Ristorante & Cafe","65","italian","","","4.0","42.9658897966","-78.8787715137","$$","6879.47466612"
"five-points-bakery-buffalo-2","Five Points Bakery","180","bakeries","coffee","cafes","4.5","42.91092","-78.88566","$","6172.20948682"
"parkside-meadow-buffalo","Parkside Meadow","61","tradamerican","chicken_wings","sandwiches","3.5","42.9385679","-78.850429","$$","3290.88175163"
"sato-ramen-buffalo","SATO Ramen","94","ramen","","","3.5","42.95296","-78.82442","$$","3015.09269638"
"shawarma-city-buffalo-2","Shawarma City","9","mideastern","","","4.0","42.9379882812","-78.8502655029","$","3252.2588791"
"macs-on-hertel-buffalo","Mac's on Hertel","120","newamerican","","","3.5","42.9474983","-78.8548126","$$","4079.79116314"
"taste-of-siam-buffalo","Taste of Siam","118","thai","","","4.0","42.9191538","-78.8772467","$$","5290.93409815"
"wiechecs-lounge-buffalo","Wiechec's Lounge","57","newamerican","","","4.5","42.8721847534","-78.8120117188","$$","6105.02614011"
"grateful-grind-coffee-buffalo","Grateful Grind Coffee","19","coffee","cafes","","5.0","42.95146","-78.82506","$","2888.73745842"
"lynns-wings-and-things-buffalo","Lynn's Wings & Things","3","chicken_wings","pizza","sandwiches","3.5","42.850372","-78.824645","","8577.08857446"
"gino-and-joes-famous-ny-pizza-buffalo","Gino & Joe's Famous NY Pizza","29","pizza","italian","","4.5","42.8851","-78.8749","$","6866.056472"
"pho-lantern-restaurant-buffalo","Pho Lantern Restaurant","192","seafood","vietnamese","thai","4.5","42.90627","-78.89638","$$","7168.65858006"
"99-fast-food-buffalo","99 Fast Food","217","vietnamese","japanese","desserts","4.0","42.94742","-78.8139999","$","2260.43100567"
"armory-restaurant-buffalo","Armory Restaurant","7","restaurants","","","4.5","42.90495","-78.889","$","6645.37846038"
"amys-place-buffalo","Amy's Place","371","diners","vegetarian","vegan","4.0","42.95219","-78.8253","$","2956.76812263"
"teton-kitchen-thai-and-japanese-cuisine-cheektowaga-2","Teton Kitchen Thai & Japanese Cuisine","410","thai","japanese","sushi","4.5","42.9138143","-78.7337717","$$","6631.48744217"
"the-marina-market-buffalo","The Marina Market","4","pizza","convenience","","4.5","42.8780174","-78.8802262","$","7719.8028125"
"donut-kraze-buffalo","Donut Kraze","60","breakfast_brunch","donuts","sandwiches","4.5","42.877944","-78.800537","$","5551.73891053"
"qdoba-mexican-eats-buffalo","QDOBA Mexican Eats","33","mexican","hotdogs","catering","3.5","42.9074131062","-78.7625756356","$$","4664.77981578"
"més-que-buffalo-2","Més Que","95","sportsbars","newamerican","tapasmallplates","4.0","42.9477020953","-78.8553410769","$$","4127.90608392"
"cabaret-restaurant-buffalo","Cabaret Restaurant","36","newamerican","diners","wine_bars","4.0","42.8925474733","-78.8734486699","$$","6236.29565869"
"ashkers-juice-bar-and-cafe-buffalo","Ashker's Juice Bar and Cafe","328","cafes","coffee","juicebars","4.5","42.9244","-78.87725","$","5225.21734298"
"nanas-mediterranean-restaurant-buffalo","Nanas Mediterranean Restaurant","11","greek","","","4.5","42.9724617","-78.6931381","$","11024.9825844"
"ditondos-tavern-buffalo","DiTondo's Tavern","29","italian","","","4.0","42.8785095","-78.8628387","$","6746.36293604"
"kumiko-sushi-and-thai-buffalo","Kumiko Sushi & Thai","21","sushi","thai","","4.5","42.95275","-78.77889","$$","3976.15803571"
"buffalo-beef-and-brew-buffalo","Buffalo Beef and Brew","3","tradamerican","beerbar","","5.0","42.78394","-78.81059","$$","15836.2129839"
"the-place-buffalo","The Place","68","tradamerican","bars","","3.0","42.9132393748","-78.878377229","$$","5543.22839874"
"suzy-qs-barbeque-shack-buffalo","Suzy Q's Barbeque Shack","110","bbq","","","4.5","42.95775","-78.91305","$$","8810.60139445"
"buffalo-riverworks-buffalo","Buffalo RiverWorks","123","venues","skatingrinks","sandwiches","3.0","42.86987","-78.87268","$$","7991.46680746"
"harbor-bistro-and-bar-buffalo","Harbor Bistro and Bar","8","tradamerican","bars","","3.0","42.8836871944","-78.8812857494","$$","7352.7606387"
"fuji-grill-buffalo","Fuji Grill","125","japanese","sushi","","4.0","42.991512","-78.759896","$$","8373.959289"
"omakase-buffalo","Omakase","1","newamerican","","","5.0","42.8864468","-78.8783689","","6972.43658188"
"andiamo-takeout-bistro-buffalo","Andiamo Takeout Bistro","13","italian","","","4.5","43.00183","-78.74058","$","10186.1007519"
"niagara-cafe-buffalo","Niagara Cafe","103","puertorican","","","4.0","42.8985099792","-78.8890228271","$","6952.87666352"
"deep-south-taco-buffalo-14","Deep South Taco","57","mexican","","","3.0","42.9473304749","-78.8445663452","$$","3406.23473668"
"sinatras-trilogy-restaurant-buffalo","Sinatra's Trilogy Restaurant","63","italian","","","4.0","42.9584312","-78.8527374","$$$","4739.43790305"
"romeo-and-juliet-cafe-buffalo","Romeo & Juliet Cafe","46","italian","pizza","bakeries","4.5","42.97843","-78.74058","$$","8203.42235722"
"three-sisters-tamale-company-buffalo-2","Three Sisters Tamale Company","3","foodstands","","","4.5","42.8671413","-78.8297701","$","6800.86564915"
"pita-gourmet-buffalo","Pita Gourmet","77","mediterranean","greek","","4.0","42.95592","-78.69638","$","10039.6575711"
"texas-de-brazil-buffalo","Texas de Brazil","114","steak","brazilian","venues","3.5","42.9148985779","-78.7645073942","$$$","4187.49495517"
"pasquales-buffalo","Pasquale's","67","pizza","italian","","4.0","42.82994","-78.76531","$$","11512.596511"
"buffalo-chophouse-buffalo","Buffalo Chophouse","136","steak","seafood","salad","3.5","42.892112","-78.875335","$$$$","6376.04945682"
"papaya-buffalo-buffalo-2","Papaya - Buffalo","132","asianfusion","thai","vietnamese","3.5","42.8907488","-78.8773661","$$","6607.35780288"
"tullys-good-times-buffalo","Tully's Good Times","69","tradamerican","","","4.0","42.9950816267","-78.8216526799","$$","7592.785653"
"olive-and-ivy-buffalo","Olive & Ivy","19","greek","breakfast_brunch","sandwiches","4.0","42.8823423386","-78.8755434752","$","7104.0532351"
"central-park-grill-buffalo","Central Park Grill","17","sportsbars","tradamerican","musicvenues","4.0","42.93664","-78.84138","$","2540.65475822"
"china-taste-buffalo-3","China Taste","6","chinese","","","4.5","42.99675","-78.8007499","$$","7805.84521"
"sterling-buffalo","Sterling","66","gastropubs","","","3.0","42.9473648071","-78.8525390625","$$","3925.77362366"
"phatcatz-buffalo","PhatCatz","9","soulfood","","","4.5","42.9357723444","-78.8184070587","$$","1056.04784584"
"bravo-cucina-italiana-buffalo","BRAVO! Cucina Italiana","85","italian","wine_bars","breakfast_brunch","3.5","42.9149412747","-78.7632682386","$$","4281.96144289"
"nye-park-tavern-buffalo","Nye Park Tavern","32","newamerican","burgers","soup","3.5","42.942356","-78.878837","$$","5609.00598696"
"kentucky-gregs-hickory-pit-depew","Kentucky Greg's Hickory Pit","241","bbq","","","4.5","42.919021","-78.73056","$$","6792.17344288"
"maybacks-buffalo","Mayback's","15","pizza","salad","sandwiches","4.5","42.9244351","-78.7724022","$","3372.74179633"
"share-kitchen-and-bar-room-williamsville","Share Kitchen & Bar Room","43","newamerican","wine_bars","cocktailbars","4.5","42.963233","-78.744537","$$","6882.22551098"
"la-kueva-restaurant-buffalo","La Kueva Restaurant","39","puertorican","","","4.0","42.9477685","-78.8615531","$","4560.81838299"
"buffalo-little-lamb-amherst","Buffalo Little Lamb","68","hotpot","bbq","chinese","4.5","42.9804816842","-78.8154727221","$$","5935.970123"
"cecelias-ristorante-buffalo","Cecelia's Ristorante","177","italian","bars","","3.5","42.9165992737","-78.877456665","$$","5362.71227149"
"the-lenox-grill-buffalo","The Lenox Grill","101","bars","newamerican","","3.5","42.901885","-78.874443","$$","5721.02071804"
"arirang-buffalo","Arirang","94","japanese","korean","seafood","3.5","42.989397347","-78.7901513278","$$","7152.8413428"
"romeo-and-juliets-cafe-buffalo","Romeo & Juliet's Cafe","125","italian","bakeries","pizza","4.0","42.947986","-78.860145","$$","4481.42610024"
"griffon-gastropub-williamsville","Griffon Gastropub","243","newamerican","gastropubs","asianfusion","4.5","42.9968469925","-78.6958052963","$$","12303.7277773"
"nettes-fried-chicken-buffalo","Nette's Fried Chicken","24","soulfood","","","4.0","42.9497833252","-78.8279266357","$","2790.03631435"
"same-old-antics-buffalo","Same Old Antics","1","newamerican","","","5.0","42.898518","-78.883954","$$$","6581.74580052"
"natalies-mediterranean-eatery-buffalo","Natalie's Mediterranean Eatery","76","mideastern","mediterranean","greek","4.0","42.9755377024","-78.8025042415","$","5443.52495772"
"sato-buffalo","SATO","176","japanese","sushi","asianfusion","3.5","42.917282","-78.876709","$$","5287.10596109"
"kalypso-buffalo","Kalypso","63","caribbean","","","4.0","42.9513255","-78.8251391","$","2866.34703287"
"red-pepper-chinese-and-vietnamese-cuisine-buffalo","Red Pepper Chinese & Vietnamese Cuisine","174","chinese","vietnamese","","4.0","42.99145","-78.81844","$$","7165.70865984"
"wellington-pub-buffalo","Wellington Pub","50","tradamerican","pubs","","4.0","42.94741","-78.85102","$$","3820.15119105"
"potters-field-buffalo","Potters Field","20","irish","tradamerican","gastropubs","3.5","42.838646","-78.798744","$$","9902.38328314"
"dick-and-jennys-grand-island","Dick & Jenny's","131","cajun","newamerican","wine_bars","4.5","42.99622","-78.965203","$$","14565.3670755"
"michaels-town-shanty-buffalo","Michael's Town Shanty","16","newamerican","","","3.5","42.871812","-78.788162","$$","6474.68751476"
"takis-restaurant-buffalo","Taki's Restaurant","21","diners","breakfast_brunch","","4.0","42.8861007839","-78.8760899752","$","6866.22384336"
"d-avolios-kitchen-williamsville","D'Avolio's Kitchen","77","herbsandspices","italian","","4.5","42.9615590664","-78.7512851134","$$","6330.44414084"
"the-melting-pot-buffalo-buffalo","The Melting Pot - Buffalo","95","fondue","french","salad","3.5","42.9154362907","-78.7628873649","$$$","4294.48516584"
"conlons-buffalo","Conlon's","44","irish","tradamerican","","4.5","42.8521156311","-78.8171081543","$$","8342.0451112"
"giancarlos-sicilian-steakhouse-williamsville-2","Giancarlo's Sicilian Steakhouse","130","italian","steak","pizza","4.0","42.9613984671","-78.7617819239","$$","5662.08298576"
"la-divina-williamsville","La Divina","24","tacos","","","5.0","42.9598121643","-78.6964187622","$","10182.2442905"
"lin-restaurant-buffalo","Lin Restaurant","74","thai","burmese","","4.5","42.9538650513","-78.9056015015","$$","8092.3328357"
"globe-market-buffalo-2","Globe Market","105","sandwiches","gourmet","","4.0","42.91785","-78.8773","$","5342.20026758"
"the-lodge-bar-grill-buffalo","The Lodge Bar + Grill","210","bars","tradamerican","","3.5","42.8906297","-78.8759635","$$","6525.4311315"
"joes-panini-grill-buffalo","Joe's Panini Grill","12","sandwiches","","","5.0","42.9668342","-78.8705056","$","6427.82289023"
"old-pink-buffalo","Old Pink","86","divebars","tradamerican","","4.0","42.899692","-78.878311","$","6116.90049437"
"pete-n-paul-pockets-buffalo","Pete 'n Paul Pockets","24","hotdogs","","","4.5","42.8407251835","-78.8237124681","$","9629.68464349"
"crystal-asian-cuisine-buffalo","Crystal Asian Cuisine","31","dimsum","asianfusion","","4.5","42.9636011","-78.8131426","$$","4029.23390797"
"wasabi-buffalo","Wasabi","115","japanese","sushi","","4.0","42.91763","-78.87745","$$","5330.22999666"
"je-ne-sais-quoi-buffalo","Je Ne Sais Quoi","5","breakfast_brunch","diners","seafood","5.0","42.899543","-78.853576","$$","4500.375435"
"the-italian-village-depew","The Italian Village","88","italian","","","4.0","42.929639","-78.697592","$$","9414.33580034"
"fat-bobs-smokehouse-buffalo","Fat Bob's Smokehouse","235","bbq","smokehouse","cocktailbars","4.0","42.8979034424","-78.8733596802","$$","5877.4223338"
"sun-roll-buffalo","Sun Roll","13","asianfusion","","","4.0","42.8906517029","-78.8722000122","$$","6286.8786633"
"hot-mamas-canteen-buffalo-2","Hot Mama's Canteen","51","tradamerican","pubs","","4.0","42.93737","-78.893538","$","6642.21127926"
"the-terrace-buffalo","The Terrace","5","bars","tradamerican","","4.0","42.9321559008","-78.8731310977","","4914.13497873"
"kostas-family-restaurant-buffalo","Kostas Family Restaurant","125","greek","tradamerican","mediterranean","3.5","42.9475365","-78.8501129","$$","3777.28963883"
"the-howling-rooster-buffalo","The Howling Rooster","104","breakfast_brunch","diners","coffee","4.0","42.9613416782","-78.8383479416","$","4325.74740001"
"saigon-bangkok-restaurant-buffalo","Saigon Bangkok Restaurant","96","thai","vietnamese","","4.0","42.98846","-78.6972","$$","11583.0476226"
"coles-buffalo-2","Cole's","193","tradamerican","bars","gastropubs","3.5","42.9272651672","-78.8774337769","$$","5230.37221994"
"marcos-italian-deli-buffalo-4","Marco's Italian Deli","73","italian","delis","sandwiches","4.5","42.9478754","-78.8519514","$","3913.09331193"
"shawarma-city-buffalo-3","Shawarma City","37","mideastern","","","4.0","42.972626372","-78.823251619","$","5108.2302341"
"milos-buffalo","Milo's","6","diners","","","4.0","42.87488","-78.87143","$","7493.67605844"
"just-fries-buffalo","Just Fries","13","newamerican","hotdogs","poutineries","3.5","42.888224","-78.873082","$","6517.59090982"
"mezza-restaurant-and-lounge-buffalo","Mezza Restaurant & Lounge","99","mediterranean","mideastern","lounges","3.5","42.9225","-78.87669","$$","5195.09371686"
"lexus-club-buffalo","Lexus Club","5","tradamerican","buffets","","4.0","42.8754268","-78.8769513","$$","7744.74436382"
"j-js-cafe-buffalo","J-J's Cafe","42","diners","","","4.5","42.95846","-78.82812","$","3691.88647118"
